Timestamp,Temperature,Humidity,Moisture
2023/05/11_14-38-14,33.4,82.0,1.0
2023/05/11_14-38-16,33.4,82.0,1.0
2023/05/11_14-38-18,33.4,82.0,1.0
2023/05/11_14-38-20,33.4,82.0,1.0
2023/05/11_14-38-21,33.4,82.0,1.0
2023/05/11_14-38-23,33.4,82.0,1.0
2023/05/11_14-38-25,33.4,82.0,1.0
2023/05/11_14-38-27,33.4,82.0,1.0
2023/05/11_14-38-28,33.4,82.0,1.0
2023/05/11_14-38-30,33.4,82.0,1.0
2023/05/11_14-38-33,33.4,82.0,1.0
2023/05/11_14-38-35,33.4,82.0,0.0
2023/05/11_14-38-45,33.4,82.0,1.0
2023/05/11_14-38-47,0.0,0.0,1.0
2023/05/11_14-38-50,0.0,0.0,1.0
2023/05/11_14-38-52,33.3,82.0,1.0
2023/05/11_14-38-53,33.3,82.0,1.0
2023/05/11_14-38-55,33.3,82.0,1.0
2023/05/11_14-38-57,33.3,82.0,1.0
2023/05/11_14-38-59,0.0,0.0,1.0
2023/05/11_14-39-01,33.3,82.0,1.0
2023/05/11_14-39-02,33.4,82.0,1.0
2023/05/11_14-39-04,33.4,82.0,1.0
2023/05/11_14-39-06,33.3,82.0,1.0
2023/05/11_14-39-08,0.0,0.0,1.0
2023/05/11_14-39-11,33.3,82.0,1.0
2023/05/11_14-39-12,33.4,82.0,1.0
2023/05/11_14-39-14,33.4,82.0,1.0
2023/05/11_14-39-16,33.4,82.0,1.0
2023/05/11_14-39-18,33.4,82.0,1.0
2023/05/11_14-39-19,0.0,0.0,1.0
2023/05/11_14-39-22,33.4,82.0,1.0
2023/05/11_14-39-24,33.4,82.0,1.0
2023/05/11_14-39-26,33.4,82.0,1.0
2023/05/11_14-39-28,33.4,82.0,1.0
2023/05/11_14-44-20,33.3,83.0,1.0
2023/05/11_14-44-54,0.0,0.0,0.0
2023/05/11_14-44-57,33.3,82.0,0.0
2023/05/11_14-45-17,33.3,82.0,1.0
2023/05/11_14-45-19,33.3,81.0,1.0
2023/05/11_14-45-21,33.3,82.0,1.0
2023/05/11_14-45-23,33.3,82.0,1.0
2023/05/11_14-45-26,33.3,82.0,1.0
2023/05/11_14-45-28,33.4,81.0,1.0
2023/05/11_14-45-29,0.0,0.0,1.0
2023/05/11_14-45-32,33.4,81.0,1.0
2023/05/11_14-45-34,0.0,0.0,1.0
2023/05/11_14-45-36,33.4,81.0,1.0
2023/05/11_14-45-38,33.4,81.0,1.0
2023/05/11_14-45-40,33.3,81.0,1.0
2023/05/11_14-45-42,33.4,81.0,1.0
2023/05/11_14-45-43,33.3,81.0,1.0
2023/05/11_14-45-46,33.4,81.0,1.0
2023/05/11_14-45-48,33.4,81.0,1.0
2023/05/11_14-45-49,0.0,0.0,1.0
2023/05/11_14-45-53,33.4,81.0,1.0
2023/05/11_14-45-57,33.4,81.0,1.0
2023/05/11_14-45-59,33.4,81.0,1.0
2023/05/11_14-46-01,33.4,81.0,1.0
2023/05/11_14-46-02,33.4,81.0,1.0
2023/05/11_14-46-04,33.4,81.0,1.0
2023/05/11_14-46-06,33.4,81.0,1.0
2023/05/11_14-46-08,33.4,81.0,1.0
2023/05/11_14-46-11,0.0,0.0,1.0
2023/05/11_14-47-44,33.4,81.0,1.0
2023/05/11_14-47-49,33.3,82.0,0.0
,,,
2023/05/11_14-50-03,0.0,0.0,1.0
2023/05/11_14-50-10,0.0,0.0,0.0
2023/05/11_14-50-16,0.0,0.0,0.0
2023/05/11_14-50-22,0.0,0.0,0.0
2023/05/11_14-50-28,0.0,0.0,0.0
2023/05/11_14-50-34,0.0,0.0,0.0
2023/05/11_14-50-39,33.3,82.0,0.0
2023/05/11_14-50-48,33.2,83.0,1.0
2023/05/11_14-50-54,33.3,83.0,0.0
2023/05/11_14-51-04,33.3,83.0,1.0
2023/05/11_14-51-11,33.3,83.0,1.0
2023/05/11_14-51-17,33.3,83.0,1.0
2023/05/11_14-51-23,33.3,83.0,1.0
2023/05/11_14-51-28,33.3,83.0,1.0
2023/05/11_14-51-33,0.0,0.0,1.0
2023/05/11_14-52-31,33.3,82.0,1.0
2023/05/11_14-52-36,33.3,83.0,1.0
2023/05/11_14-52-41,33.3,82.0,1.0
2023/05/11_14-52-47,33.3,82.0,1.0
2023/05/11_14-52-52,33.3,82.0,0.0
2023/05/11_14-53-09,0.0,0.0,1.0
2023/05/11_14-53-15,33.3,82.0,1.0
2023/05/11_14-53-21,33.3,82.0,1.0
2023/05/11_14-53-26,33.3,82.0,1.0
2023/05/11_14-53-32,33.3,82.0,1.0
2023/05/11_14-53-37,33.3,82.0,1.0
2023/05/11_14-53-42,33.3,82.0,1.0
2023/05/11_14-53-47,33.3,82.0,1.0
2023/05/11_14-53-53,33.3,82.0,1.0
2023/05/11_14-53-59,33.3,82.0,1
